Year,Mo,Dy,Tsunami Event Validity,Maximum Water Height (m),Total Deaths,Total Damage ($Mil),Total Houses Destroyed,Total Houses Damaged,Country
1800,6,2,2,,,,,,PORTUGAL
1802,1,4,2,,,,,,CROATIA
1802,3,19,2,,,,,,ANTIGUA AND BARBUDA
1802,8,10,1,,,,,,UK
1802,8,15,3,,,,,,VENEZUELA
1802,8,,2,,,,,,INDONESIA
1802,11,7,3,,,,1100,,ALGERIA
1802,12,9,4,,19,,1060,,JAPAN
1804,1,8,1,,,,,,GREECE
1804,1,13,4,,,,,,SPAIN
1804,6,8,3,,,,,,GREECE
1804,7,10,4,1,450,,10810,300,JAPAN
1804,7,31,2,,,,,,ITALY
1805,1,8,1,,,,,,GREECE
1805,5,8,3,5,,,1,,AUSTRALIA
1805,7,26,4,,,,,,ITALY
1806,3,25,2,,,,,,USA
1806,8,26,2,,,,,,ITALY
1806,12,1,3,1,,,,,PERU
1806,,,2,1.5,,,,,FRENCH POLYNESIA
1808,4,2,2,0.15,2,,,,ITALY
1808,8,8,4,1.5,,,,,JAPAN
1808,12,4,1,,,,,,JAPAN
1809,7,3,2,,,,,,ITALY
1809,7,4,1,,,,,,PORTUGAL
1809,12,4,1,,,,,,SOUTH AFRICA
1809,,,1,,,,,,USA TERRITORY
1810,2,16,0,,,,,,GREECE
1810,8,27,4,,,,,,MEXICO
1810,9,25,4,1,57,,1084,,JAPAN
1810,,,2,,,,,,NEW ZEALAND
1810,,,4,,,,,,NORWAY
1811,11,19,2,4,,,,,CHILE
1811,12,16,0,,,,,,USA
1811,12,16,0,,,,,,USA
1812,1,23,0,,,,,,USA
1812,2,7,0,,,,,,USA
1812,3,26,2,,26000,,,,VENEZUELA
1812,6,23,2,,,,,,FRANCE
1812,11,11,2,,,,,,JAMAICA
1812,12,21,4,3.4,1,,,,USA
1812,,,1,,,,,,USA
1813,5,17,1,,,,,,ITALY
1813,,,-1,,,,,,USA
1814,,,2,,,,,,INDONESIA
1815,4,10,4,4,60000,,,,INDONESIA
1815,4,11,1,,,,,,INDONESIA
1815,11,22,3,,11453,,,,INDONESIA
1816,2,2,-1,,,,,,PORTUGAL
1816,5,1,2,,,,,,INDONESIA
1816,12,20,-1,,,,,,JAPAN
1817,1,1,1,,,,,,GREECE
1817,1,8,0,0.3,,,,,USA
1817,1,14,1,,,,,,ITALY
1817,8,23,3,5,,,,,GREECE
1818,1,,1,,,,,,GREECE
1818,2,20,4,,72,,,,ITALY
1818,2,23,2,,,,,,ITALY
1818,3,18,3,,,,,,INDONESIA
1818,11,8,2,3.5,,,,,INDONESIA
1818,12,9,2,,,,,,ITALY
1819,1,8,2,,,,,,ITALY
1819,4,12,4,4,,,,,CHILE
1819,6,16,3,,1543,,1547,,INDIA
1819,8,31,3,,,,,,NORWAY
1819,,,2,,,,,,USA TERRITORY
1820,3,1,2,,,,,,USA
1820,3,17,-1,,,,,,GREECE
1820,5,4,4,4,,,,,MEXICO
1820,7,23,2,,,,,,ITALY
1820,12,29,2,,8,,79,,GREECE
1820,12,29,4,25,500,,,,INDONESIA
1820,,,3,,,,,,USA
1820,,,2,,,,,,CONGO
1821,1,6,4,,,,,,GREECE
1821,4,10,1,,,,,,COSTA RICA
1821,5,,2,,3,,,,UK TERRITORY
1821,9,3,1,,,,,,USA
1821,,,-1,,,,,,INDONESIA
1822,3,20,1,,,,,,LEBANON
1822,4,10,1,,,,,,ITALY
1822,5,7,3,,,,,,COSTA RICA
1822,8,13,2,,8000,,,,TURKEY
1822,11,20,4,3.6,72,,,,CHILE
1823,3,5,2,,,,,,ITALY
1823,5,30,0,2.74,,,,,USA
1823,8,20,2,,,,,,CROATIA
1823,9,9,2,0.3,,,,,INDONESIA
1823,10,,-1,,,,,,CROATIA
1823,11,30,4,,,,,,MARTINIQUE (FRENCH TERRITORY)
1824,9,13,-1,,,,,,GUADELOUPE (FRENCH TERRITORY)
1824,10,26,1,,,,,,PHILIPPINES
1824,11,30,2,,,,,,MARTINIQUE (FRENCH TERRITORY)
1825,1,3,1,,,,,,DENMARK
1825,1,19,1,,58,,,,GREECE
1825,2,26,1,,,,,,COLOMBIA
1825,3,21,-1,,,,,,USA
1825,4,,2,,,,,,USA TERRITORY
1825,9,21,2,,,,,,TRINIDAD AND TOBAGO
1826,1,,3,,,,,,JAPAN
1826,3,18,2,,,,,,ITALY
1826,10,22,-1,,,,,,USA
1826,,,3,,,,,,NEW ZEALAND
1827,1,18,1,,,,,,USA
1827,8,8,-1,,,,,,USA
1827,8,9,3,,,,,,RUSSIA
1827,11,16,-1,,,,,,ECUADOR
1827,,,-1,,,,,,USA
1828,3,30,-1,,,,,,PERU
1828,5,26,4,,,,,,JAPAN
1828,10,9,2,,,,,,ITALY
1828,11,9,1,,,,,,PHILIPPINES
1828,12,18,-1,,1443,,11750,,JAPAN
1828,12,29,-1,,,,,,INDONESIA
1829,5,23,2,,,,,,TURKEY
1829,9,26,-1,,,,,,CHILE
1830,1,10,1,,,,,,HOLLAND
1830,1,18,0,1,,,,,PHILIPPINES
1830,9,16,0,,,,,,PHILIPPINES
1831,5,26,2,,,,,,ITALY
1831,7,2,2,,,,,,ITALY
1831,12,3,1,,,,,,TRINIDAD AND TOBAGO
1831,,,3,,,,,,NEW ZEALAND
1832,3,8,2,,234,,,,ITALY
1833,1,19,2,,,,,,ALBANIA
1833,3,10,3,,,,,,MEXICO
1833,9,6,0,,6700,,87620,,CHINA
1833,9,18,1,9,700,,1001,,PERU
1833,11,24,4,,,,,,INDONESIA
1833,12,7,4,9,85,,1140,1790,JAPAN
1834,2,9,4,,,,73,,JAPAN
1834,3,14,1,,,,,,MEXICO
1835,2,20,4,24,53,,,,CHILE
1835,7,12,2,,,,,,GREECE
1835,7,20,4,5,,,,,JAPAN
1835,8,19,-1,,,,,,JAPAN
1836,1,21,1,,,,,,AUSTRALIA
1836,3,5,2,,,,,,INDONESIA
1836,4,24,3,,589,,,,ITALY
1836,7,3,2,,,,,,CHILE
1836,9,5,-1,,,,,,JAPAN
1836,11,28,2,,,,,,INDONESIA
1837,1,1,3,,,,,,ISRAEL
1837,8,1,1,,,,,,NETHERLANDS
1837,8,2,-1,,,,,,USA TERRITORY
1837,8,9,2,,,,,,MEXICO
1837,9,29,2,,,,,,INDONESIA
1837,10,18,2,,,,,,MEXICO
1837,10,,2,,,,,,"MICRONESIA, FED. STATES OF"
1837,11,7,4,6,16,,,,CHILE
1838,5,7,2,0.8,,,,,CHILE
1838,8,10,2,,,,,,CROATIA
1839,2,12,1,,,,,,CHILE
1839,3,,1,,,,,,USA
1839,5,1,1,,,,,,JAPAN
1839,,,3,,,,,,NEW ZEALAND
1840,1,4,2,,,,,,INDONESIA
1840,1,16,-1,,,,,,USA
1840,1,28,1,,,,,,PERU
1840,2,14,2,,,,500,,INDONESIA
1840,3,22,1,,52,,,,PHILIPPINES
1840,7,28,0,,,,,,NEW ZEALAND
1840,8,,2,1,,,,,NEW ZEALAND
1840,11,11,0,,,,,,USA
1840,,,-1,,,,,,USA
1841,5,17,4,15,,,,,RUSSIA
1841,11,26,3,3,,,,,INDONESIA
1841,12,16,3,1.5,,,,,INDONESIA
1841,,,1,,,,,,PERU
1842,5,7,4,5,5300,,,,HAITI
1842,11,1,2,,,,,,CANADA
1842,11,11,1,,,,,,BANGLADESH
1843,1,5,4,,,,,,INDONESIA
1843,2,7,1,,,,,,INDONESIA
1843,2,8,4,1.2,5000,,,,GUADELOUPE (FRENCH TERRITORY)
1843,2,17,1,,,,,,GUADELOUPE (FRENCH TERRITORY)
1843,4,25,4,4.5,45,,75,,JAPAN
1843,7,5,1,,,,,,UK
1843,7,8,2,,,,,,NEW ZEALAND
1843,9,14,2,,,,,,CROATIA
1843,10,18,2,,,,,,GREECE
1844,3,3,2,,,,,,CROATIA
1844,3,8,-1,,,,,,JAPAN
1844,3,22,2,,,,,,CROATIA
1844,5,,0,,,,,,NICARAGUA
1845,2,8,3,,118,,,,INDONESIA
1845,4,7,3,,,,,,MEXICO
1845,6,18,1,,,,,,ITALY
1845,6,19,3,,,,,,INDIA
1845,7,5,1,1,,,,,NEW ZEALAND
1845,8,16,1,,,,,,CROATIA
1845,9,,-1,,,,,,JAPAN
1845,,,3,,100,,,,USA
1846,1,25,4,1.2,,,,,INDONESIA
1846,3,,4,2,,,,,JAPAN
1846,5,7,4,,,,,,NEW ZEALAND
1846,7,25,2,,,,,,TURKEY
1846,8,14,3,,56,,,,ITALY
1846,8,26,3,,,,,,ITALY
1846,9,12,3,,,,,,ITALY
1846,9,19,3,,,,,,ITALY
1846,10,4,3,,,,,,ITALY
1846,10,14,3,,,,,,ITALY
1846,10,19,3,,,,,,ITALY
1846,10,24,3,,,,,,ITALY
1846,10,28,3,,,,,,ITALY
1846,11,29,3,,,,,,ITALY
1846,12,3,2,,,,,,ITALY
1846,,,2,,,,,,TURKEY
1847,4,15,3,,,,,,ITALY
1847,4,16,3,,,,,,ITALY
1847,4,17,3,,,,,,ITALY
1847,5,23,2,2,,,,,PERU
1847,7,9,4,7,10,,,,PORTUGAL
1847,8,26,2,,,,,,ITALY
1847,8,27,1,,335,,,,JAPAN
1847,10,19,2,,,,,,CHILE
1847,10,31,3,,,,,,INDIA
1848,6,,1,,,,,,RUSSIA
1848,7,12,2,,,,,,FRENCH POLYNESIA
1848,9,24,3,,,,,,CANADA
1848,10,15,1,0.3,,,,,NEW ZEALAND
1848,10,17,-1,,,,,,NEW ZEALAND
1848,10,18,-1,,3,,,,NEW ZEALAND
1849,1,25,3,6.1,,,,,USA TERRITORY
1849,9,28,4,,,,,,RUSSIA
1849,11,17,4,5,,,,,CHILE
1850,1,21,2,,,,,,ITALY
1850,5,16,2,,,,,,ITALY
1850,7,20,1,2,,,,,JAPAN
1850,10,20,2,,,,,,ITALY
1850,,,1,,,,,,NORTHWEST PACIFIC OCEAN
1851,2,28,2,,,,,,GREECE
1851,2,28,3,0.9,,,,,TURKEY
1851,4,2,-1,,,,,,CHILE
1851,4,3,3,,,,,,TURKEY
1851,5,4,3,1.5,,,,,INDONESIA
1851,5,15,1,,,,,,USA
1851,5,23,2,,,,,,GREECE
1851,5,26,2,3,,,,,CHILE
1851,7,28,1,,,,,,ITALY
1851,10,12,2,0.66,2000,,,,ALBANIA
1851,11,13,1,,,,,,USA
1851,12,16,1,,,,,,ITALY
1852,1,9,3,,,,,,INDONESIA
1852,2,2,2,,,,,,ITALY
1852,5,12,2,,,,,,TURKEY
1852,6,26,2,,,,,,ITALY
1852,7,17,2,,,,,,CUBA
1852,9,8,3,,,,,,TURKEY
1852,9,16,2,,3,,,,PHILIPPINES
1852,11,10,-1,,,,,,INDONESIA
1852,11,10,2,,,,,,ITALY
1852,11,11,1,,,,,,INDONESIA
1852,11,16,-1,,,,,,INDONESIA
1852,11,19,1,,,,,,INDONESIA
1852,11,23,-1,,,,,,INDONESIA
1852,11,25,1,,,,,,USA
1852,11,25,4,8,60,,,,INDONESIA
1852,11,27,1,,,,,,PERU
1852,11,29,3,3,,,,,MEXICO
1852,12,4,2,,1,,,,MEXICO
1852,12,24,1,,,,,,INDONESIA
1852,12,31,2,1.2,,,,,AUSTRALIA
1853,4,8,2,,,,,,ITALY
1853,7,15,4,5,1000,,,,VENEZUELA
1853,8,18,3,,17,,,,GREECE
1853,10,3,2,,,,,,JAPAN
1853,10,29,1,,,,,,TAIWAN
1853,11,,1,,,,,,RUSSIA
1853,12,11,2,1,,,,,MONTENEGRO
1853,12,24,1,,,,,,TONGA
1853,,,4,120,,,,,USA
1854,1,4,2,,,,,,INDONESIA
1854,1,15,1,,,,,,NORTHWEST PACIFIC OCEAN
1854,1,27,3,2.4,,,,,USA
1854,2,29,1,,,,,,FRANCE
1854,5,31,1,,,,,,USA
1854,6,27,-1,,,,,,RUSSIA
1854,7,9,4,,,,,,RUSSIA
1854,7,24,2,0.1,,,,,USA
1854,8,4,2,,,,,,COSTA RICA
1854,8,7,2,,,,,,COSTA RICA
1854,8,18,2,0.03,,,,,USA
1854,9,27,3,,,,,,INDONESIA
1854,10,4,3,0.03,,,,,USA
1854,10,22,2,,,,,,USA
1854,11,1,-1,,,,,,USA
1854,11,10,-1,,,,,,USA
1854,12,1,-1,,,,,,USA
1854,12,4,1,,,,,,MEXICO
1854,12,23,4,21,1000,,8900,,JAPAN
1854,12,24,4,28,3000,,20000,,JAPAN
1854,12,29,2,,,,,,FRANCE
1855,1,23,3,11,,,,,NEW ZEALAND
1855,2,3,4,,,,,,NEW ZEALAND
1855,2,11,2,,,,,,NEW ZEALAND
1855,2,13,2,,,,,,TURKEY
1855,2,17,2,10,,,,,PORTUGAL
1855,3,20,1,,,,,,USA
1855,4,14,3,,,,,,INDONESIA
1855,5,18,2,,,,,,FRANCE
1855,7,11,3,,,,1,26,USA
1855,8,11,1,,,,,,CHILE
1855,9,25,1,,,,,,HONDURAS
1855,10,22,1,,,,,,USA
1855,11,7,4,3,,,,,JAPAN
1855,11,11,4,,6757,,50000,,JAPAN
1855,12,3,1,,,,,,JAPAN
1855,,,0,3,,,,,CHINA
1856,1,6,1,10,,,,,PORTUGAL
1856,2,15,3,0.6,,,,,USA
1856,3,2,4,,2806,,,,INDONESIA
1856,3,,3,1,,,,,NEW ZEALAND
1856,7,25,2,,,,,,INDONESIA
1856,7,26,1,,,,,,USA
1856,8,4,4,5,,,,,HONDURAS
1856,8,21,3,3.75,5,,,,ALGERIA
1856,8,22,3,5,8,,,,ALGERIA
1856,8,23,4,6,26,,193,238,JAPAN
1856,9,,2,,,,,,JAPAN
1856,10,12,2,,538,,8000,,GREECE
1856,11,13,3,,,,,,GREECE
1857,1,6,0,,,,,,SUDAN
1857,4,17,4,,,,,,PAPUA NEW GUINEA
1857,5,13,4,3.4,36,,,,INDONESIA
1857,5,23,2,,,,,,ALGERIA
1857,7,13,4,,,,,,JAPAN
1857,9,17,0,,,,,,TURKEY
1857,11,17,3,,,,,,INDONESIA
1857,11,18,2,,,,,,INDONESIA
1858,1,31,2,,,,,,AUSTRALIA
1858,2,21,1,,,,,,GREECE
1858,4,24,2,,,,,,CHILE
1858,6,5,2,2.4,,,,,UK
1858,8,6,-1,,,,,,NEW ZEALAND
1858,9,15,2,,,,,,NEW ZEALAND
1858,9,,1,,,,,,JAPAN
1858,12,13,2,,,,,,INDONESIA
1859,6,28,4,10,,,,,INDONESIA
1859,7,20,3,,,,,,INDONESIA
1859,7,29,4,1,,,,,INDONESIA
1859,8,21,1,,,,,,TURKEY
1859,8,25,3,,,,,,EL SALVADOR
1859,9,24,2,4.6,,,,,USA
1859,9,25,2,,,,,,INDONESIA
1859,10,5,4,6,10,,339,,CHILE
1859,10,11,-1,,,,200,,CHILE
1859,10,20,2,,2,,,,INDONESIA
1859,10,20,1,,,,,,GREECE
1859,10,26,-1,,,,,,INDONESIA
1859,11,22,2,,,,,,AUSTRALIA
1859,12,9,3,,,,,,EL SALVADOR
1859,12,17,2,,,,,,INDONESIA
1859,12,25,3,,,,,,INDONESIA
1860,1,6,2,,,,,,SPAIN
1860,3,17,1,,,,,,MEXICO
1860,4,8,4,,,,,,HAITI
1860,4,23,3,,,,,,PERU
1860,8,,1,,,,,,INDONESIA
1860,10,6,3,,,,,,INDONESIA
1860,12,1,2,3.6,,,,,USA
1861,2,16,4,7,1105,,,,INDONESIA
1861,2,21,0,,,,,,INDONESIA
1861,3,9,4,,950,,96,,INDONESIA
1861,3,20,-1,,,,,,CHILE
1861,3,,2,1.8,,,,,INDONESIA
1861,4,26,4,,,,,,INDONESIA
1861,5,4,-1,,,,,,USA
1861,5,5,-1,,,,,,USA
1861,6,5,2,,,,,,INDONESIA
1861,6,17,3,,,,,,INDONESIA
1861,9,25,3,,,,,,INDONESIA
1861,10,20,4,3.9,,,70,,JAPAN
1861,12,26,4,2.1,,,,,GREECE
1862,1,1,3,,,,,,GREECE
1862,1,28,2,,,,,,USA
1862,3,4,1,,,,,,PHILIPPINES
1862,3,18,2,,,,,,FRANCE
1862,4,8,-1,2.1,,,,,INDONESIA
1862,5,27,4,1.2,,,,,USA
1862,7,10,2,,3,,,,GHANA
1862,11,24,2,,,,,,ITALY
1863,3,16,1,,,,,,INDONESIA
1863,4,22,2,,300,,2050,,GREECE
1863,6,3,2,,400,,1172,,PHILIPPINES
1863,8,17,2,,,,,,VANUATU
1863,9,20,3,,,,,,JAPAN
1863,,,1,,,,,,CANADA
1864,2,16,-1,,,,,,INDONESIA
1864,5,19,1,,,,,,HAITI
1864,5,23,3,3,250,,,,INDONESIA
1864,6,27,3,,,,,,CANADA
1865,1,8,3,2,5,,,,PERU
1865,3,1,2,,,,,,PERU
1865,3,1,1,,,,,,JAPAN
1865,7,16,1,,,,,,USA
1865,10,4,-1,,,,,,USA
1865,10,8,3,,,0.5,,,USA
1865,10,13,-1,,,,,,PHILIPPINES
1865,10,19,2,,,,223,,PHILIPPINES
1865,11,18,4,1.25,,,20,,TONGA
1865,11,28,1,,,,,,PERU
1866,1,2,3,,60,,,,ALBANIA
1866,1,6,3,,,,,,ALBANIA
1866,1,19,2,,,,,,GREECE
1866,1,31,1,,,,52,,GREECE
1866,2,2,2,,,,,,GREECE
1866,2,6,3,8.6,,,,,GREECE
1866,3,2,2,,60,,12,,ALBANIA
1866,3,6,3,,,,,,ALBANIA
1866,3,13,2,,,,,,ALBANIA
1866,8,9,1,,,,,,AUSTRALIA
1866,8,15,1,,,,,,AUSTRALIA
1866,9,5,2,,,,,,USA
1866,9,12,1,,,,,,USA TERRITORY
1866,10,,1,,,,,,GREECE
1866,12,20,-1,,,,,,USA
1867,2,4,3,,,,,,GREECE
1867,3,7,3,,563,,5915,5500,GREECE
1867,3,15,0,,16,,7,,ITALY
1867,4,10,2,,,,,,GREECE
1867,5,7,4,,,,,,NORWAY
1867,6,10,1,,5,,372,,INDONESIA
1867,8,5,1,,,,,,AUSTRALIA
1867,9,20,4,6,,,,,GREECE
1867,9,,1,,,,,,VENEZUELA
1867,10,4,2,,,,,,GREECE
1867,11,18,4,15.2,24,,,,USA TERRITORY
1867,11,19,1,,,,,,GREECE
1867,12,18,4,15,580,,,,TAIWAN
1868,3,17,3,1.5,,,,,USA TERRITORY
1868,4,3,4,13.7,77,,,,USA
1868,4,4,-1,,,,,,USA
1868,4,10,-1,,,,,,USA
1868,4,20,-1,,,,,,USA
1868,4,23,1,,,,,,UK
1868,5,15,2,6.1,,,,,USA
1868,5,22,3,,,,,,ITALY
1868,5,25,2,,,,,,MEXICO
1868,6,13,-1,,,,,,USA
1868,8,11,-1,,,,,,PERU
1868,8,12,3,,,,,,MEXICO
1868,8,13,4,18,25000,300,,,CHILE
1868,8,13,2,,,,,,VENEZUELA
1868,8,14,4,0.17,,,,,CHILE
1868,8,19,3,4,,,,,INDIA
1868,9,5,2,,,,,,ITALY
1868,9,14,2,1,,,,,CHILE
1868,10,2,2,6.1,,,,,USA
1868,10,2,2,,,,,,PERU
1868,10,16,2,1,,,,,CHILE
1868,10,18,4,3,,,,,NEW ZEALAND
1868,10,21,3,4.5,30,0.35,,,USA
1869,1,4,1,,,,,,NEW ZEALAND
1869,1,27,2,,,,,,CHILE
1869,2,6,2,,,,,,CHILE
1869,2,10,1,,,,,,USA
1869,2,13,1,,,,,,USA
1869,3,2,3,0.6,,,,,NEW ZEALAND
1869,3,31,2,,,,,,NEW ZEALAND
1869,4,22,1,,,,,,PERU
1869,6,1,3,,,,,,USA
1869,6,25,2,,,,,,CHILE
1869,7,24,3,8.2,,,,,USA
1869,8,9,3,3,,,,,CHILE
1869,8,11,1,,,,,,AUSTRALIA
1869,8,16,2,,,,,,PHILIPPINES
1869,8,19,-1,,,,,,PERU
1869,8,21,1,,,,,,CHILE
1869,8,24,3,2,,,,,CHILE
1869,9,9,2,,,,,,GREECE
1869,10,11,1,,,,,,UKRAINE
1869,12,28,2,,,,,,GREECE
1870,4,6,2,0.6,,,,,NEW ZEALAND
1870,4,29,-1,,,,,,NEW ZEALAND
1870,5,11,3,,24,,,,MEXICO
1870,6,9,2,,,,,,GUADELOUPE (FRENCH TERRITORY)
1870,6,24,3,,,,,,EGYPT
1870,7,29,2,,,,,,CROATIA
1870,8,1,1,,100,,,,GREECE
1870,8,6,3,,,,,,CROATIA
1870,8,12,1,,,,,,AUSTRALIA
1870,10,20,2,,2,,16,,CANADA
1870,10,28,3,,,,,,ITALY
1870,11,2,2,,,,,,ITALY
1871,1,17,1,,,,,,ITALY
1871,2,5,2,,,,,,PERU
1871,2,7,2,0.3,,,,,MEXICO
1871,2,18,-1,,,,,,USA
1871,2,20,1,,,,,,USA
1871,3,3,4,25,400,,75,,INDONESIA
1871,3,25,2,1,,,,,CHILE
1871,3,,1,,,,,,NEW ZEALAND
1871,4,30,1,,,,,,PHILIPPINES
1871,6,18,2,,,,,,USA
1871,8,20,2,,,,,,CHILE
1871,8,21,2,,,,,,PERU
1871,8,25,1,,,,,,INDONESIA
1871,8,,1,,,,,,NEW ZEALAND
1871,9,7,1,,,,,,FRANCE
1871,10,5,-1,,,,,,CHILE
1871,10,5,1,,,,,,GREECE
1871,12,28,2,,,,,,CHILE
1872,1,10,1,,,,,,PERU
1872,1,13,-1,,,,,,USA
1872,1,22,-1,,,,,,USA
1872,1,26,3,,,,,,PHILIPPINES
1872,3,14,4,3,804,,5796,,JAPAN
1872,3,26,-1,,,,,,USA
1872,4,3,3,,1800,,,,TURKEY
1872,6,13,1,0.6,,,,,USA
1872,8,23,4,1.3,,,,,USA
1872,8,27,-1,,,,,,USA
1872,9,16,3,0.1,,,,,USA
1872,11,17,2,0.51,,,,,USA
1872,,,4,,,,,,ICELAND
1872,,,3,,,,,,JAPAN
1873,7,7,-1,,,,,,CHILE
1873,10,13,1,,,,,,PANAMA
1873,10,25,-1,,,,,,GREECE
1873,11,19,1,,,,,,CHILE
1873,11,23,3,3.05,,,,,USA
1873,,,3,,,,,,PAPUA NEW GUINEA
1874,3,11,2,,,,,,USA TERRITORY
1874,5,,2,,2000,,,,BANGLADESH
1874,5,,3,24.38,,,,,USA
1874,5,,-1,,,,,,INDONESIA
1874,10,13,1,,,,,,AUSTRALIA
1875,2,23,1,,,,,,MEXICO
1875,3,18,4,,,,,,ITALY
1875,3,28,3,4,25,,,,NEW CALEDONIA
1875,5,10,2,,,,,,VANUATU
1875,10,12,-1,,,,,,USA
1875,,,2,,,,,,PAPUA NEW GUINEA
1876,5,28,3,0.3,,,,,INDONESIA
1876,10,26,2,,,,,,JAPAN
1876,12,23,3,,,,,,ITALY
1876,,,-1,,,,,,INDIA
1877,2,2,-1,,,,,,USA
1877,2,24,2,,,,,,USA
1877,4,16,1,1.8,,,,,USA
1877,5,4,1,,,,,,USA
1877,5,10,4,24,2385,,,,CHILE
1877,5,14,2,,,,,,PERU
1877,5,15,2,,,,,,CHILE
1877,6,15,1,,,,,,CHILE
1877,8,23,3,1,,,,,CHILE
1877,9,2,1,,,,,,CHILE
1877,9,,1,,,,,,VIETNAM
1877,10,9,1,,,,,,CHILE
1877,10,11,2,,,,,,COLOMBIA
1877,12,1,2,,,,,,NEW ZEALAND
1878,1,10,3,12,,,,,VANUATU
1878,1,14,-1,,,,,,USA
1878,1,20,3,3.6,,,3,,USA
1878,1,23,1,,,,,,CHILE
1878,1,27,3,,5,,,,PERU
1878,1,28,1,,,,,,CHILE
1878,2,3,1,,,,,,CHILE
1878,2,4,3,,1,,,,PAPUA NEW GUINEA
1878,2,4,1,,,,,,PERU
1878,2,11,3,,,,,,VANUATU
1878,2,14,2,,,,,,CHILE
1878,3,12,2,,,,,,CHILE
1878,4,12,2,,,,,,CHILE
1878,4,19,1,,40,,,,TURKEY
1878,6,12,2,,,,,,CHILE
1878,6,30,2,,,,,,CHILE
1878,8,29,1,,,,,,USA
1878,8,,1,,,,,,INDONESIA
1878,8,,1,,,,,,VANUATU
1878,9,30,1,,,,,,CHILE
1878,10,11,1,,,,,,RUSSIA
1878,11,22,3,1,1,,,,USA
1878,11,23,2,,,,,,CHILE
1879,2,4,1,,,,,,ITALY
1879,4,27,2,0.9,,,,,NEW ZEALAND
1879,7,11,3,,,,,,EGYPT
1879,7,29,-1,,,,,,CROATIA
